Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
4/25/2018 9:28,VR2W-125447,A69-1303-4075,,,,,15 Aalborg,57.054076,9.91539
4/25/2018 9:29,VR2W-125447,A69-1303-4075,,,,,15 Aalborg,57.054076,9.91539
4/25/2018 9:30,VR2W-108766,A69-1303-4075,,,,,16 Aalborg,57.055955,9.921725
4/25/2018 9:33,VR2W-108766,A69-1303-4075,,,,,16 Aalborg,57.055955,9.921725
4/25/2018 22:34,VR2W-108768,A69-1303-4075,,,,,Hals2,56.985826,10.31077
4/25/2018 22:37,VR2W-108768,A69-1303-4075,,,,,Hals2,56.985826,10.31077
4/25/2018 22:39,VR2W-108768,A69-1303-4075,,,,,Hals2,56.985826,10.31077
4/25/2018 22:39,VR2W-108768,A69-1303-4075,,,,,Hals2,56.985826,10.31077
4/25/2018 22:40,VR2W-108768,A69-1303-4075,,,,,Hals2,56.985826,10.31077
4/25/2018 22:42,VR2W-108768,A69-1303-4075,,,,,Hals2,56.985826,10.31077
4/25/2018 22:42,VR2W-125452,A69-1303-4075,,,,,Hals1,56.989474,10.310159
4/25/2018 22:43,VR2W-108768,A69-1303-4075,,,,,Hals2,56.985826,10.31077
4/25/2018 22:44,VR2W-125452,A69-1303-4075,,,,,Hals1,56.989474,10.310159
4/25/2018 22:44,VR2W-108768,A69-1303-4075,,,,,Hals2,56.985826,10.31077
4/25/2018 22:44,VR2W-125452,A69-1303-4075,,,,,Hals1,56.989474,10.310159
4/25/2018 22:45,VR2W-108768,A69-1303-4075,,,,,Hals2,56.985826,10.31077
4/25/2018 22:45,VR2W-125452,A69-1303-4075,,,,,Hals1,56.989474,10.310159
4/25/2018 22:47,VR2W-125452,A69-1303-4075,,,,,Hals1,56.989474,10.310159
4/25/2018 23:00,VR2W-108768,A69-1303-4075,,,,,Hals2,56.985826,10.31077
8/20/2018 9:56,VR2W-125452,A69-1303-4075,,,,,Hals1,56.989474,10.310159
8/20/2018 10:02,VR2W-125452,A69-1303-4075,,,,,Hals1,56.989474,10.310159
8/20/2018 10:04,VR2W-125452,A69-1303-4075,,,,,Hals1,56.989474,10.310159
8/20/2018 10:05,VR2W-125452,A69-1303-4075,,,,,Hals1,56.989474,10.310159
8/20/2018 10:06,VR2W-125452,A69-1303-4075,,,,,Hals1,56.989474,10.310159
8/21/2018 12:33,VR2W-108766,A69-1303-4075,,,,,16 Aalborg,57.055955,9.921725
8/21/2018 12:42,VR2W-108766,A69-1303-4075,,,,,16 Aalborg,57.055955,9.921725
8/22/2018 14:04,VR2W-125886,A69-1303-4075,,,,,Aggersund,57.000027,9.292732
8/22/2018 14:05,VR2W-125886,A69-1303-4075,,,,,Aggersund,57.000027,9.292732
8/23/2018 17:21,VR2W-131090,A69-1303-4075,,,,,Sundstrup1,56.605311,9.292661
3/6/2018 21:44,VR2W-125449,A69-1303-4080,,,,,Simested,56.571595,9.380188
3/8/2018 7:05,VR2W-125449,A69-1303-4080,,,,,Simested,56.571595,9.380188
3/8/2018 7:06,VR2W-125449,A69-1303-4080,,,,,Simested,56.571595,9.380188
3/8/2018 7:07,VR2W-125449,A69-1303-4080,,,,,Simested,56.571595,9.380188
3/12/2018 19:51,VR2W-125449,A69-1303-4080,,,,,Simested,56.571595,9.380188
3/12/2018 19:51,VR2W-125449,A69-1303-4080,,,,,Simested,56.571595,9.380188
4/29/2018 14:58,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
4/29/2018 14:59,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
4/29/2018 15:00,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
4/29/2018 15:03,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
4/29/2018 15:03,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
4/29/2018 15:04,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
4/29/2018 15:06,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
4/29/2018 15:07,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
5/5/2018 14:08,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
5/5/2018 14:09,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
5/5/2018 14:10,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
5/5/2018 14:11,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
5/5/2018 14:12,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
5/5/2018 14:13,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
5/6/2018 17:32,VR2W-125447,A69-1303-4080,,,,,15 Aalborg,57.054076,9.91539
5/6/2018 17:35,VR2W-108766,A69-1303-4080,,,,,16 Aalborg,57.055955,9.921725
5/6/2018 17:36,VR2W-108766,A69-1303-4080,,,,,16 Aalborg,57.055955,9.921725
5/7/2018 12:21,VR2W-125452,A69-1303-4080,,,,,Hals1,56.989474,10.310159
5/7/2018 12:24,VR2W-125452,A69-1303-4080,,,,,Hals1,56.989474,10.310159
5/7/2018 12:37,VR2W-108768,A69-1303-4080,,,,,Hals2,56.985826,10.31077
5/7/2018 12:37,VR2W-108768,A69-1303-4080,,,,,Hals2,56.985826,10.31077
5/7/2018 12:38,VR2W-125452,A69-1303-4080,,,,,Hals1,56.989474,10.310159
5/7/2018 12:39,VR2W-108768,A69-1303-4080,,,,,Hals2,56.985826,10.31077
5/7/2018 12:40,VR2W-108768,A69-1303-4080,,,,,Hals2,56.985826,10.31077
5/7/2018 12:41,VR2W-125452,A69-1303-4080,,,,,Hals1,56.989474,10.310159
5/7/2018 12:41,VR2W-108768,A69-1303-4080,,,,,Hals2,56.985826,10.31077
5/7/2018 12:42,VR2W-108768,A69-1303-4080,,,,,Hals2,56.985826,10.31077
5/7/2018 12:42,VR2W-125452,A69-1303-4080,,,,,Hals1,56.989474,10.310159
5/7/2018 12:43,VR2W-108768,A69-1303-4080,,,,,Hals2,56.985826,10.31077
5/7/2018 12:43,VR2W-108768,A69-1303-4080,,,,,Hals2,56.985826,10.31077
5/7/2018 12:44,VR2W-125452,A69-1303-4080,,,,,Hals1,56.989474,10.310159
5/7/2018 12:45,VR2W-108768,A69-1303-4080,,,,,Hals2,56.985826,10.31077
5/7/2018 12:46,VR2W-108768,A69-1303-4080,,,,,Hals2,56.985826,10.31077
5/7/2018 12:47,VR2W-108768,A69-1303-4080,,,,,Hals2,56.985826,10.31077
5/7/2018 12:50,VR2W-108768,A69-1303-4080,,,,,Hals2,56.985826,10.31077
5/7/2018 12:51,VR2W-108768,A69-1303-4080,,,,,Hals2,56.985826,10.31077
8/3/2018 7:12,VR2W-125452,A69-1303-4080,,,,,Hals1,56.989474,10.310159
8/3/2018 7:13,VR2W-125452,A69-1303-4080,,,,,Hals1,56.989474,10.310159
8/6/2018 17:36,VR2W-108766,A69-1303-4080,,,,,16 Aalborg,57.055955,9.921725
8/6/2018 17:38,VR2W-108766,A69-1303-4080,,,,,16 Aalborg,57.055955,9.921725
8/6/2018 17:42,VR2W-108766,A69-1303-4080,,,,,16 Aalborg,57.055955,9.921725
8/6/2018 17:43,VR2W-108766,A69-1303-4080,,,,,16 Aalborg,57.055955,9.921725
8/6/2018 19:40,VR2W-108766,A69-1303-4080,,,,,16 Aalborg,57.055955,9.921725
8/6/2018 20:59,VR2W-108766,A69-1303-4080,,,,,16 Aalborg,57.055955,9.921725
8/7/2018 4:06,VR2W-125447,A69-1303-4080,,,,,15 Aalborg,57.054076,9.91539
8/7/2018 4:08,VR2W-125447,A69-1303-4080,,,,,15 Aalborg,57.054076,9.91539
8/7/2018 4:09,VR2W-125447,A69-1303-4080,,,,,15 Aalborg,57.054076,9.91539
8/8/2018 7:15,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/8/2018 7:17,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/8/2018 7:18,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/8/2018 7:19,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/8/2018 7:20,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/8/2018 7:21,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/8/2018 7:22,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/8/2018 7:24,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/8/2018 7:25,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/8/2018 7:33,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/8/2018 7:33,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/8/2018 7:35,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/8/2018 7:38,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/8/2018 7:39,VR2W-125886,A69-1303-4080,,,,,Aggersund,57.000027,9.292732
8/16/2018 13:45,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/16/2018 13:46,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 4:40,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 4:41,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 4:43,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 4:44,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 4:54,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
8/17/2018 5:00,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:05,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:05,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
8/17/2018 5:09,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:10,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:15,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:16,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:17,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:18,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:19,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:20,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:21,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:28,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:28,VR2W-131090,A69-1303-4080,,,,,Sundstrup1,56.605311,9.292661
8/17/2018 5:32,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:33,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
8/17/2018 5:33,VR2W-131092,A69-1303-4080,,,,,Sundstrup2,56.608186,9.291788
